,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
315,Sao Joao Da Barra,BR,73.17,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
317,Arlit,NE,78.6,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
318,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Alize Plage
321,Khatra,IN,84.27,few clouds,22.9833,86.85,Aranyak Resort Mukutmanipur
325,Veraval,IN,86.18,scattered clouds,20.9,70.3667,Lords Inn Somnath
326,Bodden Town,KY,80.92,clear sky,19.2833,-81.25,Will T Place
327,High Rock,BS,80.62,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
328,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
329,Japura,ID,87.78,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
331,Jamtara,IN,83.21,scattered clouds,23.95,86.8,SM LODGE AND ROOMS
335,Paredon,MX,78.31,moderate rain,16.0333,-93.8667,Hotel Principal Paredon
343,Cockburn Town,TC,81.61,clear sky,21.4612,-71.1419,Osprey Beach Hotel
344,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
345,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
346,Labuhan,ID,87.08,light rain,-6.8844,112.2051,DoubleFAG
347,Riacho De Santana,BR,72.7,scattered clouds,-13.6092,-42.9389,Casa Nogueira
351,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
352,Ternate,ID,85.77,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
355,Itoman,JP,73.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
356,Hongjiang,CN,78.03,clear sky,27.11,109.9956,洪江大酒店
358,Hirara,JP,71.87,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
361,Jacareacanga,BR,72.95,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
364,Bajah,YE,74.37,clear sky,13.8141,44.6301,باجة
365,Dicabisagan,PH,83.82,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
367,Guilin,CN,80.71,broken clouds,25.2819,110.2864,Grand 0773 Hotel
375,Ubatuba,BR,70.16,light rain,-23.4339,-45.0711,Hotel Coquille
376,Leshan,CN,77.94,clear sky,29.5623,103.7639,Leshan Haiyun International Youth Hostel
377,Limon,CR,75.06,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
380,Angoram,PG,88.47,heavy intensity rain,-4.0625,144.0661,
382,Maturin,VE,76.84,overcast clouds,9.75,-63.1767,"Residential Hotel ""La Pichincha"""
383,Gao,ML,78.31,clear sky,16.6362,1.637,
391,Andapa,MG,72.66,clear sky,-14.65,49.65,Ramanandraibe Andapa
393,Kribi,CM,77.59,overcast clouds,2.95,9.9167,La Grace Hôtel
396,Kudahuvadhoo,MV,80.87,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
399,Mattru,SL,71.51,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
400,Mahebourg,MU,74.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
401,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
404,Gat,IL,71.4,few clouds,31.61,34.7642,OlusHome
405,Faanui,PF,77.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
415,Mangochi,MW,78.44,clear sky,-14.4782,35.2645,Fort Johnstone Hotel
419,George Town,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
420,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
421,Orange,US,72.64,clear sky,33.7,-117.7675,Meadows
422,Camocim,BR,78.06,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
423,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
424,San Alberto,CO,75.42,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
425,Stabat,ID,89.8,overcast clouds,3.761,98.4513,Link VII damai
426,Tautira,PF,76.23,light rain,-17.7333,-149.15,Pension Oaoa
427,Namatanai,PG,83.46,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
428,Merauke,ID,87.1,overcast clouds,-8.4667,140.3333,
430,Lorengau,PG,85.28,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
431,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
435,Vanimo,PG,85.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
439,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
442,Cap Malheureux,MU,74.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
448,Manggar,ID,82.92,light rain,-2.8833,108.2667,Guest Hotel
449,Teknaf,BD,82.56,overcast clouds,20.8624,92.3058,Forestry Guesthouse
451,Sao Felix Do Xingu,BR,72.36,broken clouds,-6.6447,-51.995,Rio Xingu Camping
456,Poya,NC,78.13,few clouds,-21.35,165.15,
457,Punganuru,IN,79.72,overcast clouds,13.3667,78.5833,Sai Ram nursery
458,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
459,Kavieng,PG,84.97,broken clouds,-2.5744,150.7967,Nusa Island Retreat
463,Pasni,PK,82.72,clear sky,25.2631,63.471,Kashmiri Hotal
465,Cabo San Lucas,MX,79.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
473,Marzuq,YE,72.93,clear sky,14.4,46.4667,حيد القفلة
475,Coahuayana,MX,76.86,moderate rain,18.7333,-103.6833,El rranchito michuacan de ocampos
